index_action	index_pros	index_cons	object_name	index_name	type_desc	indexed_columns	included_columns	filter_definition	is_primary_key	is_unique	is_disabled	has_unique	partition_number	fill_factor	is_padded	size_in_mb	buffered_mb	table_buffered_mb	buffered_percent	row_count	user_total_pct	estimated_user_total_pct	missing_index_impact	user_total	user_seeks	user_scans	user_lookups	user_updates	read_to_update_ratio	read_to_update	update_to_read	row_lock_count	row_lock_wait_count	row_lock_wait_in_ms	row_block_pct	avg_row_lock_waits_ms	page_latch_wait_count	avg_page_latch_wait_ms	page_io_latch_wait_count	avg_page_io_latch_wait_ms	tree_page_latch_wait_count	avg_tree_page_latch_wait_ms	tree_page_io_latch_wait_count	avg_tree_page_io_latch_wait_ms	read_operations	leaf_writes	leaf_page_allocations	leaf_page_merges	nonleaf_writes	nonleaf_page_allocations	nonleaf_page_merges	duplicate_indexes	overlapping_indexes	related_foreign_keys	related_foreign_keys_xml	key_columns	data_columns
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [AccessLevel], [JoiningDate], [LeavingDate], [Suspended]	[EmployeeNumber], [FullName], [Surname], [PersonnelStatus], [PayrollCompanyID]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.53	139341.82	2831	2831	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[PersonnelStatus], [EmployeeNumber], [LeavingDate], [Suspended], [AccessLevel]	[FullName], [Surname], [Forename], [PostCode], [Sex], [DateOfBirth], [MaritalStatus], [JoiningDate], [DrivingLicenceHeld], [PayrollStatus], [TAStatus], [SFDCStatus]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.21	48044.04	1122	1122	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [LeavingDate], [Suspended], [AccessLevel]	[EmployeeNumber], [FullName], [JoiningDate], [PersonnelStatus], [DateGroupJoined], [PayrollCompanyID]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.17	26291.1	930	930	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [Surname], [JoiningDate], [LeavingDate], [Suspended], [AccessLevel]	[EmployeeNumber], [FullName], [PersonnelStatus], [PayrollCompanyID]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.16	18172.48	872	872	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [LeavingDate], [AccessLevel]	[EmployeeNumber], [FullName], [Title], [Surname], [Forename], [AddressLine1], [AddressLine2], [AddressLine3], [AddressLine4], [PostCode], [Sex], [DateOfBirth], [MaritalStatus], [TelephoneNumber], [IntExtensionNumber], [JoiningDate], [UnionCode], [Suspended], [NINumber], [EMail], [ConversionLevel], [DateGroupJoined], [Reference], [MobilePhoneNumber], [PayrollCompanyID], [ContractType], [ContractClass], [ForeignCountry]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.15	17864.32	824	824	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [LeavingDate], [Suspended], [AccessLevel]	[EmployeeNumber], [FullName], [Surname], [Forename], [PostCode], [Sex], [DateOfBirth], [MaritalStatus], [JoiningDate], [DrivingLicenceHeld], [PayrollStatus], [PersonnelStatus], [SFDCStatus]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.08	11283.72	404	404	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [EmployeeNumber], [LeavingDate], [Suspended], [AccessLevel]	[FullName], [JoiningDate], [PayrollCompanyID]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.07	10053.75	375	375	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [EmployeeNumber], [LeavingDate], [Suspended], [AccessLevel]	[FullName], [Surname], [Forename], [PostCode], [Sex], [DateOfBirth], [MaritalStatus], [JoiningDate], [DrivingLicenceHeld], [PayrollStatus], [PersonnelStatus], [SFDCStatus]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.07	8426.22	374	374	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[PersonnelStatus], [AccessLevel]	[EmployeeNumber], [FullName], [Title], [Surname], [Forename], [AddressLine1], [AddressLine2], [AddressLine3], [AddressLine4], [PostCode], [Sex], [DateOfBirth], [MaritalStatus], [Dependants], [TelephoneNumber], [IntExtensionNumber], [ContractNumber], [JoiningDate], [LeavingDate], [UnionCode], [DrivingLicenceHeld], [Suspended], [NINumber], [EMail], [ConversionLevel], [DateGroupJoined], [ReasonForLeaving], [Reference], [ClassificationType], [MobilePhoneNumber], [ContractType], [ContractClass], [ForeignCountry]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.06	5692.5	345	345	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[Surname], [TAStatus], [JoiningDate], [LeavingDate], [Suspended], [AccessLevel]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.05	21528.12	244	244	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[PersonnelStatus], [LeavingDate], [AccessLevel]	[EmployeeNumber], [FullName], [Title], [Surname], [Forename], [AddressLine1], [AddressLine2], [AddressLine3], [AddressLine4], [PostCode], [Sex], [DateOfBirth], [MaritalStatus], [Dependants], [TelephoneNumber], [IntExtensionNumber], [ContractNumber], [JoiningDate], [UnionCode], [DrivingLicenceHeld], [Suspended], [NINumber], [EMail], [ConversionLevel], [DateGroupJoined], [ReasonForLeaving], [Reference], [ClassificationType], [MobilePhoneNumber], [ContractType], [ContractClass], [ForeignCountry]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.04	5044.5	190	190	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimGEEmployeeDetails]	--MISSING INDEX--	NONCLUSTERED	[TAStatus], [AccessLevel], [LeavingDate]	[EmployeeNumber], [FullName], [Title], [Surname], [Forename], [AddressLine1], [AddressLine2], [AddressLine3], [AddressLine4], [PostCode], [Sex], [DateOfBirth], [MaritalStatus], [TelephoneNumber], [IntExtensionNumber], [JoiningDate], [UnionCode], [Suspended], [NINumber], [EMail], [ConversionLevel], [DateGroupJoined], [Reference], [MobilePhoneNumber], [PayrollCompanyID], [ContractType], [ContractClass], [ForeignCountry]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.02	7953.68	98	98	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PrsSalaryHistory]	--MISSING INDEX--	NONCLUSTERED	[EndDate], [NextReviewDate]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	57.14	93.52	4	4	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PrsSalaryHistory]	--MISSING INDEX--	NONCLUSTERED	[EndDate]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	28.57	29.88	2	2	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PrsSalaryHistory]	--MISSING INDEX--	NONCLUSTERED	[StartDate], [SalaryChangeReason]	[EmployeeNumber], [EndDate], [JobDescriptionCode]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14.29	82.77	1	1	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimOvertimeAuthorisation]	--MISSING INDEX--	NONCLUSTERED	[ShiftDate]	[EmployeeNumber], [SequenceNumber]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	98.47	90398954.28	971092	971092	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimOvertimeAuthorisation]	--MISSING INDEX--	NONCLUSTERED	[ShiftDate]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1.38	1350817.99	13613	13613	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimOvertimeAuthorisation]	--MISSING INDEX--	NONCLUSTERED	[ShiftDate]	[EmployeeNumber], [SequenceNumber], [RequestedHours], [AuthorisedFlag], [Reason]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.13	116101.56	1324	1324	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimPaymentEntries]	--MISSING INDEX--	NONCLUSTERED	[PayrollType], [ArrivalDate]	[EmployeeNumber], [ArrivalTime], [DepartureDate], [DepartureTime], [DepartmentCode], [WorkPatternCode], [PeriodLengthToPay]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	67.51	137572.5	1411	1411	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimPaymentEntries]	--MISSING INDEX--	NONCLUSTERED	[EmployeeNumber], [PayrollType], [ArrivalDate], [ShiftDate]	[ArrivalTime], [ExcessTerm]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	31.77	8512.48	664	664	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimPaymentEntries]	--MISSING INDEX--	NONCLUSTERED	[ShiftDate]	[EmployeeNumber], [LatenessTime], [ForfeitTime], [PayrollCalculated], [PeriodLengthToPay], [PayrollType], [ArrivalShiftTime], [DepartShiftTime], [ExcessTimeBefore], [ExcessTimeAfter], [ExcessTerm], [PaidArrivalTime], [PaidDepartureTime], [LateArrival], [LateArriveInTol], [EarlyDeparture], [EarlyDepartInTol], [ArrivalSource], [DepartureSource]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.67	1280.3	14	14	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimPaymentEntries]	--MISSING INDEX--	NONCLUSTERED	[PayrollCalculated], [ShiftDate]	[EmployeeNumber]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.05	95.44	1	1	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PrsTrainingCoursesDates]	--MISSING INDEX--	NONCLUSTERED	[Date]	[TrainingCourse], [Sequence], [Time], [Duration], [Organisation], [Venue], [Tutor], [Fee], [ToDate], [ToTime], [DurationUnit], [OpenToExternals], [ExternalFee], [PlacesAvailable], [BookedByEmployee], [ExpiryDate], [CPDCategory], [CPDValue]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	97.31	262294.72	11966	11966	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PrsTrainingCoursesDates]	--MISSING INDEX--	NONCLUSTERED	[Date]	[TrainingCourse], [Sequence], [Time]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2.43	16504.8	299	299	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PrsTrainingCoursesDates]	--MISSING INDEX--	NONCLUSTERED	[Date]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.26	2442.24	32	32	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[TimPayDetails]	--MISSING INDEX--	NONCLUSTERED	[ShiftDate]	[EmployeeNumber], [PayType], [RecordSequence], [PayRateCode], [TimePaidHrMin], [AmountPaid], [TransferPayDetails], [OvertimePayCode], [RetainRecord], [AnnualisedHours], [AccruedHours]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	100.00	15779.7	197	197	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PrsTrainingSkills]	--MISSING INDEX--	NONCLUSTERED	[TrainingResult]	[EmployeeNumber], [CourseCode], [CourseSequence], [BookedBy], [TrainingDate], [BookedByEmployee]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	30.77	133.88	4	4	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PrsTrainingSkills]	--MISSING INDEX--	NONCLUSTERED	[CourseCode], [TrainingDate]	[EmployeeNumber], [TrainingResult]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	30.77	121.76	4	4	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
---			[dbo].[PrsTrainingSkills]	--MISSING INDEX--	NONCLUSTERED	[CourseCode], [TrainingResult], [TrainingDate]	[EmployeeNumber]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	30.77	122.12	4	4	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
